date,wrp,sarscov2,bcov_recovery,pmmov,flow
2021-01-31,Calumet,276544.34323263605,0.04481303791322337,355638992.28794414,194.0
2021-01-31,Egan,204157.0496063424,0.03875894950143833,233575452.99490404,20.4
2021-01-31,Hanover,533668.1686641161,0.05088277138609923,290794450.4852071,5.66
2021-01-31,Kirie,142650.8758128998,0.01812795686513783,132832946.93494092,26.93
2021-01-31,Lemont,32003.29713775724,0.0012574694003586876,21168318.767148703,2.38
2021-01-31,OBrien,442882.8968654093,0.09989350040218983,540153379.3431889,174.0
2021-01-31,Stickney SWS,119179.56140033006,0.05008916367135808,522591213.2825561,204.0
2021-01-31,Stickney WS,513430.46009454376,0.12675742429135198,950570020.3937252,320.0
2021-02-02,Calumet,147430.26069516284,0.07221360904812808,799123833.8058603,186.0
2021-02-02,Egan,260127.11387834547,0.07633464820594488,1246529719.8907034,19.7
2021-02-02,Hanover,296304.710468839,0.04054082823132248,813893777.0517182,5.44
2021-02-02,Kirie,54598.26787682649,0.020568174750161414,241373478.72854635,28.07
2021-02-02,Lemont,11616.334983703522,0.005377742272477513,75105813.35400704,2.08
2021-02-02,OBrien,298199.9218006971,0.03505743662993906,420921363.1308394,179.0
2021-02-02,Stickney SWS,376724.54263641423,0.11497817436432563,1823882040.135846,204.0
2021-02-02,Stickney WS,107617.75171343583,0.03645531141399837,485738898.2440221,273.0
2021-02-07,Calumet,405093.0919908092,0.1330020861882695,2024250498.516992,184.0
2021-02-07,Egan,282411.48939914943,0.07475761463379624,2036413841.2946384,22.6
2021-02-07,Hanover,18242.21622980192,0.24344175082022418,1939929160.428896,5.96
2021-02-07,Kirie,212490.64963513965,0.07419964369210927,1536925048.468147,27.62
2021-02-07,Lemont,19627.911650302976,0.008761800735491177,429144442.6191425,2.17
2021-02-07,OBrien,172146.2773143156,0.03983037700207586,1720959021.4789217,164.0
2021-02-07,Stickney SWS,162879.3914093509,0.051981751772674244,1562498371.0938504,204.0
2021-02-07,Stickney WS,75923.83469458023,0.043408546414782284,1089415595.364435,302.0
2021-02-09,Calumet,23272.11033787665,0.012731661584920615,196664922.6236448,158.0
2021-02-09,Egan,42013.95020475882,0.017738675647770697,469371472.21814007,19.7
2021-02-09,Hanover,33.5,0.000985557497493949,67061608.82828392,5.48
2021-02-09,Kirie,33.5,0.006272436513146293,243000799.46368745,26.12
2021-02-09,Lemont,20627.9668903782,0.009777830208349134,255262843.6507641,2.05
2021-02-09,OBrien,25180.83134846006,0.008227878720555023,85177710.09619485,172.0
2021-02-09,Stickney SWS,8474.97681956311,0.0034593418941447746,56750713.15276542,205.0
2021-02-09,Stickney WS,15842.041888267278,0.022152206987039645,315867233.4783506,256.0
2021-02-15,Calumet,38401.94303223753,0.027102735456383104,320622065.8340483,159.0
2021-02-15,Egan,96937.7625214984,0.046821477890952874,1141551744.4922817,21.9
2021-02-15,Hanover,32252.414142728376,0.01819951868494666,335640724.9503783,5.38
2021-02-15,Kirie,62979.55041366735,0.01197880849667994,414982374.6725047,25.25
2021-02-15,Lemont,50716.89831958175,0.02012278171937199,235043842.1826856,2.02
2021-02-15,OBrien,33.5,0.009343419373190064,113608845.47528706,150.0
2021-02-15,Stickney SWS,45824.14900814954,0.04067375580019518,1052401549.6149032,205.0
2021-02-15,Stickney WS,74871.03494232838,0.015076670848760089,262594592.40999392,322.0
2021-02-16,Calumet,53969.07255745394,0.018781022405295052,523875325.0313917,139.0
2021-02-16,Egan,71595.5434587448,0.01963593091696006,307790372.8288292,20.4
2021-02-16,Hanover,72182.86756434572,0.015640913544628217,212074421.21267208,5.34
2021-02-16,Kirie,14331.807684332814,0.011551162668900439,50152710.21146166,25.12
2021-02-16,Lemont,20713.278236135902,0.008522576881384263,153692315.20740762,2.0
2021-02-16,OBrien,31724.68799389839,0.02110597398631593,75043686.84889166,153.0
2021-02-16,Stickney SWS,180681.85016667057,0.045860213965045284,1006786245.6979512,204.0
2021-02-16,Stickney WS,26754.76829688366,0.006390221364824019,37047921.45831108,258.0
2021-02-21,Calumet,25863.366980057952,0.03566681756644292,515474681.8220165,224.0
2021-02-21,Egan,436362.4649657744,0.09517118511735509,2065252269.87814,18.7
2021-02-21,Hanover,744843.4445982263,0.06245601952325235,2072188772.5992088,5.42
2021-02-21,Kirie,30818.294205363603,0.03885179042516417,1084219628.189393,26.59
2021-02-21,Lemont,331594.59193044965,0.05212745027733738,1074159409.117443,2.08
2021-02-21,OBrien,154697.99944553495,0.05508637547601842,1689945954.3326178,166.0
2021-02-21,Stickney SWS,126430.26203566745,0.07104074812337464,1795610760.6734016,204.0
2021-02-21,Stickney WS,55140.44787024202,0.058193309533064196,2101111934.403476,150.0
2021-02-23,Calumet,113796.24977683688,0.022960799807987452,185855449.35773343,248.0
2021-02-23,Egan,115239.90333931091,0.02041983847253477,187818385.91484004,25.7
2021-02-23,Hanover,281523.4812556738,0.04016136527106749,338373899.0213553,9.14
2021-02-23,Kirie,89248.69168518315,0.02119791969564628,137252951.3822208,37.84
2021-02-23,Lemont,4655.588747198174,0.014406405616785802,72023790.06103592,3.32
2021-02-23,OBrien,232137.29607748447,0.03262125633315847,218416981.555666,312.0
2021-02-23,Stickney SWS,126978.67155164262,0.00930854038060564,139734000.94544315,203.0
2021-02-23,Stickney WS,175470.02949549598,0.0327274878169805,309390440.7086344,322.0
2021-02-28,Calumet,157542.60879093205,0.06779828542138588,631074904.9274802,401.0
2021-02-28,Egan,18607.10424070353,0.02409225400329659,317525855.7835153,47.9
2021-02-28,Hanover,151297.44174774774,0.05389120827564538,1025256880.8010124,13.26
